City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,62.92,overcast clouds,-33.65,115.33,Observatory Guest House
4,Shenjiamen,CN,63.03,scattered clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
7,Constitucion,CL,54.48,overcast clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
13,Nikolskoye,RU,44.49,overcast clouds,59.7,30.79,Tourist House - Sablino
14,Ancud,CL,49.89,broken clouds,-41.87,-73.82,Hotel Arena Gruesa
15,Carnarvon,AU,66.47,few clouds,-24.87,113.63,Hospitality Carnarvon
20,Corinto,GR,68.9,few clouds,37.94,22.96,Ephira Hotel
23,Torbay,CA,59.76,broken clouds,47.67,-52.73,Gallows Cove
24,Ushuaia,AR,44.26,clear sky,-54.8,-68.3,Albatross Hotel
26,Rokytne,UA,53.13,broken clouds,51.28,27.21,Затишок
28,Puerto Ayora,EC,66.54,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
33,Bluff,NZ,53.8,overcast clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
37,Esperance,AU,60.64,overcast clouds,-33.87,121.9,Hospitality Esperance
48,San Cristobal,VE,68.18,overcast clouds,7.77,-72.22,Pirineos
49,Salta,AR,62.58,smoke,-24.79,-65.41,Hotel Alejandro I
50,Saint George,US,56.79,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
52,Mataura,NZ,48.31,overcast clouds,-46.19,168.86,Ellie's Villa
53,Terney,RU,40.15,overcast clouds,45.05,136.61,"Hotel ""Ternay"""
59,Asau,RO,52.72,few clouds,46.43,26.4,Casa Mika Ciobanus
60,Preston,GB,56.86,broken clouds,53.77,-2.72,Legacy Preston International Hotel - managed by Legacy Hotels and Resorts
62,Punta Arenas,CL,51.91,clear sky,-53.15,-70.92,Hotel Hain
66,Hobart,AU,58.86,overcast clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
67,Ribeira Grande,PT,66.6,broken clouds,38.52,-28.7,Quinta da Meia Eira
69,Tuatapere,NZ,47.75,broken clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
70,Saldanha,ZA,65.8,scattered clouds,-33.01,17.94,Blue Bay Lodge
73,Cabo San Lucas,MX,63.61,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
81,Mount Gambier,AU,59.23,broken clouds,-37.83,140.77,The Commodore
82,Muros,ES,63.09,overcast clouds,42.78,-9.06,Apartment Av. Castelao
84,Mayo,US,68.13,broken clouds,38.89,-76.51,Resorts Resource Group International
86,Mont-De-Marsan,FR,69.93,clear sky,44.0,-0.67,CHANTAL RAT - 40090
88,Bethel,US,67.5,scattered clouds,41.37,-73.41,Courtyard by Marriott Danbury
