City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.33,62.92,71,91,14.29,overcast clouds
1,Hilo,US,19.73,-155.09,72.25,93,92,4.0,overcast clouds
2,Cape Town,ZA,-33.93,18.42,76.12,58,20,13.8,few clouds
3,Paamiut,GL,61.99,-49.67,13.53,73,6,6.87,clear sky
4,Shenjiamen,CN,29.96,122.30,63.03,65,29,8.46,scattered clouds
5,Dikson,RU,73.51,80.55,9.97,92,100,8.55,overcast clouds
6,San Patricio,US,28.02,-97.52,77.85,92,0,7.49,clear sky
7,Constitucion,CL,-35.33,-72.42,54.48,80,96,3.65,overcast clouds
8,Vaini,TO,-21.20,-175.20,71.76,88,20,3.44,few clouds
9,Thompson,CA,55.74,-97.86,5.16,78,100,14.97,light snow
10,Tautira,PF,-17.73,-149.15,76.86,84,100,21.12,moderate rain
11,Rikitea,PF,-23.12,-134.97,72.52,85,100,20.42,light rain
12,Bredasdorp,ZA,-34.53,20.04,78.01,41,65,19.93,broken clouds
13,Nikolskoye,RU,59.70,30.79,44.49,86,100,9.13,overcast clouds
14,Ancud,CL,-41.87,-73.82,49.89,81,71,1.52,broken clouds
15,Carnarvon,AU,-24.87,113.63,66.47,62,23,17.27,few clouds
16,Kodiak,US,57.79,-152.41,27.91,74,20,3.44,few clouds
17,Sovetskiy,RU,61.36,63.58,26.87,96,48,4.38,scattered clouds
18,Santa Rosa,PH,14.31,121.11,86.11,79,82,7.9,broken clouds
19,Pouebo,NC,-20.40,164.57,77.0,84,30,9.95,scattered clouds
20,Corinto,GR,37.94,22.96,68.9,62,22,7.54,few clouds
21,Atuona,PF,-9.80,-139.03,75.4,72,100,9.73,overcast clouds
22,Boueni,YT,-12.90,45.08,87.78,74,2,4.0,clear sky
23,Torbay,CA,47.67,-52.73,59.76,93,75,25.32,broken clouds
24,Ushuaia,AR,-54.80,-68.30,44.26,93,0,0.0,clear sky
25,Bengkulu,ID,-3.80,102.27,77.95,87,90,6.6,moderate rain
26,Rokytne,UA,51.28,27.21,53.13,75,83,10.89,broken clouds
27,Kjopsvik,NO,68.10,16.37,33.67,77,28,2.95,scattered clouds
28,Puerto Ayora,EC,-0.74,-90.35,66.54,88,100,3.0,overcast clouds
29,Alexandria,EG,31.22,29.96,78.76,36,0,8.05,clear sky
30,Port Elizabeth,ZA,-33.92,25.57,80.31,67,0,4.61,clear sky
31,Vila Velha,BR,-20.33,-40.29,71.94,81,75,5.99,broken clouds
32,Ossora,RU,59.24,163.07,36.3,95,100,14.09,light rain
33,Bluff,NZ,-46.60,168.33,53.8,82,97,16.28,overcast clouds
34,Palkino,RU,57.54,28.01,42.55,78,100,11.03,overcast clouds
35,Yulara,AU,-25.24,130.99,81.48,35,59,13.22,broken clouds
36,Sanghar,PK,26.05,68.95,89.15,21,0,8.43,clear sky
37,Esperance,AU,-33.87,121.90,60.64,84,96,15.48,overcast clouds
38,Barrow,US,71.29,-156.79,26.67,87,98,16.33,overcast clouds
39,Souillac,MU,-20.52,57.52,80.98,61,40,14.97,scattered clouds
40,Laela,TZ,-8.57,32.05,86.32,26,31,8.34,scattered clouds
41,Bandraboua,YT,-12.70,45.12,87.48,74,2,6.11,clear sky
